files_repo_name,version
pounard/goat,"""php"":"">=7"
dayrev/summarizer,"""php"":""^7"
macuevas/CityBot,"""php"":"">=7"
veridu/idos-sdk-php,"""php"":"">=7"
sovereignbot/citadel,"""php"":""^7"
dmishh/SettingsBundle,"""php"":""^5.5.9|^7"
Enrise/Maparea,"""php"":""^7"
konsulting/laravel-butler,"""php"":""^5.6|^7"
Rocketweb-FED/magento2-theme-blank-sass,"""php"":""~5.6.0|7.0.2|~7"
krzysiekpiasecki/FoundationClass,"""php"":"">=7"
tulte/checktv-admin,"""php"":""^5.6||^7"
laradic/assets,"""php"":"">=7"
xicrow/php-debug,"		""php"":""^5.5|^7"
postHawk/HawkApiBundle,"""php"":""~5.5|~7"
actuallymab/laravel-shopping-cart,"""php"":""~5.5|~7"
tklever/tutor,"""php"":""^7"
mmoreram/HTTPHeadersBundle,"""php"":""^5.3.3|^7"
babenoff/ld2,"""php"":"">=7"
andersro93/shms,"""php"":"">=7"
xltxlm/H5skin,"""php"":"">=7"
platinumpixs/symfony2-simple-pagination,"""php"":"">=5.3.7"
ConnectHolland/TulipAPIBundle,"""php"":""^5.5||^7"
AdactiveSAS/doctrine2,"""php"":""^5.6||^7"
DraperStudio/Laravel-Basket,"""php"":""^5.6||^7"
xparse/Parser,"""php"":""^7"
TheHostingTool/Core,"""php"":"">=7"
steffenbrand/curr-curr,"""php"":"">=7"
tPl0ch/doctrine2,"""php"":""^7"
avoxx/utility,"""php"":"">=7"
phpspec/prophecy,"""php"":""^5.3|^7"
carlosgarcia8/gkri,"""php"":""~7"
mmoreram/symfony-bundle-dependencies,"""php"":"">=7"
pocky/Starter,"""php"":"">=7"
SocialiteProviders/Strava,"""php"":""^5.6||^7"
mkastaneda/magento2-paypalplusmx,"	""php"":""~5.5.0|~5.6.0|~7"
jaroslavtyc/drd-plus-codes,"""php"":"">=7"
pheasible/exception,"""php"":"">=7"
leslin123/Bootstrap-CMS,"""php"":"">=5.4.7"
Bigpoint/slim-bootstrap3,"""php"":"">=7"
mmoreram/doppo,"""php"":"">=5.3.7"
WyriHaximus/react-guzzle-psr7,"""php"":""^5.5|^7"
nikolaposa/monolog-factory,"""php"":""^7"
ninjacto/ortc-php,"""php"":""~5.5|~7"
wucdbm/gallery-bundle,"""php"":""~5.5|~7"
nexylan/NexySlackBundle,"""php"":""^5.6||^7"
park-manager/webhosting-module,"""php"":""^7"
